"Card","Card","Parallel","Parallel","","Type","Subtype","Rarity","Token","Cost","Health","Attack","Keywords","Function"
"Mechanize","Mechanize","augencore","augencore","","effect","","rare","false","5","0","0","Defender","Transform a friendly unit into an upgrade, then attach it to another friendly unit. The transformed unit’s attack, health, and abilities are given to the other friendly unit. The upgraded unit immediately attacks. The enemy may give any unit they control *Defender* for this attack."
"BionicTweaker","Bionic Tweaker","augencore","augencore","","unit","","common","false","3","4","2","Muster,Armed,Defender,Salvage","*Muster*: Target friendly upgraded unit gains one:

* *Armed*
* *Defender*
* *Salvage* 1"
"AuroraFungi","Aurora Fungi","earthen","earthen","","upgrade","","uncommon","false","2","0","0","","Upgraded unit has +2/+3."
"RevitalizingGrowth","Revitalizing Growth","earthen","earthen","","effect","","uncommon","false","1","0","0","","Heal any target for 5."
"ArtilleryVolley","Artillery Volley","marcolian","marcolian","","effect","","legendary","false","3","0","0","","Destroy target friendly unit. Deal damage equal to that unit’s attack to all enemy units."
"Hijack","Hijack","universal","universal","","effect","","legendary","false","3","0","0","","As an additional cost to play Hijack, waste a friendly banked card and discard a card from your hand.
Play a revealed enemy banked card for free."
"EarthbreakerCannon","Earthbreaker Cannon","marcolian","marcolian","","unit","vehicle","legendary","false","6","4","7","Assault,Shielded","*Assault*: Earthbreaker Cannon gains *Shielded*.
After another friendly Vehicle enters the field, Earthbreaker Cannon deals 5 damage to any target."
"GroveAltruist","Grove Altruist","earthen","earthen","","unit","","common","false","5","7","4","Aftermath","*Aftermath*: Heal friendly units equal to this unit’s max health, divided as you choose."
"StudentOfShoshanna","Student of Shoshanna","earthen","earthen","","unit","","common","false","2","2","2","","After you play a unit, this unit gains +1/+1 and heal yourself for 1."
"DataBreach","Data Breach","universal","universal","","effect","","legendary","false","3","0","0","","Reveal all bank cards."
"InfusedCore","Infused Core","universal","universal","","relic","","rare","false","3","0","0","","Put a banked card under this relic revealed. That card produces 2 energy each turn.
If this relic leaves the field, waste the card underneath.
If this relic is destroyed, take 4 damage."
"CapeOfCharMahal","Cape of Char Mahal","earthen","earthen","","upgrade","","common","false","3","0","0","","If upgraded unit would be destroyed, fully heal it and destroy this upgrade instead."
"EnhancedExoskeleton","Enhanced Exoskeleton","augencore","augencore","","upgrade","","uncommon","false","3","0","0","Shielded","Upgraded unit has +1/+1 for each upgrade not named Enhanced Exoskeleton attached to it and gains *Shielded*."
"UniversalSoldier","Universal Soldier","universal","universal","","unit","","uncommon","false","4","3","3","","This unit has +1/+1 for each revealed enemy bank card."
"BlackMarketFixer","Black Market Fixer","universal","universal","","unit","","uncommon","false","4","2","2","Muster","*Muster*: Destroy target enemy unit with cost 2 or less."
"TradeSecrets","Trade Secrets","augencore","augencore","","effect","","legendary","false","3","0","0","","Copy all upgrades attached to a friendly unit onto another friendly unit."
"CollateralDamage","Collateral Damage","universal","universal","","effect","","common","false","2","0","0","","Destroy target enemy relic."
"LifeStream","Life Stream","universal","universal","","relic","","common","false","1","0","0","","At the start of each player's turn, that player chooses a target to be healed by 1"
"OcularImplant","Ocular Implant","augencore","augencore","","upgrade","","common","false","1","0","0","","When upgraded unit attacks, draw a card."
"SeersStone","Seer's Stone","universal","universal","","relic","","rare","false","3","0","0","","The top card of your deck is always revealed to you.
Activate, destroy target friendly card you control: Waste the top card of your deck."
"RecklessScientist","Reckless Scientist","universal","universal","","unit","","common","false","4","3","2","Muster","*Muster*: Put a random card from your waste into your hand. Take 1 damage."
"ChangeOfHeart","Change of Heart","earthen","earthen","","effect","","common","false","3","0","0","Pacifist","Target unit gains *Pacifist*."
"DauntlessAxeman","Dauntless Axeman","earthen","earthen","","unit","","rare","false","3","3","5","Attuned,Pacifist","*Attuned*

* Dormant: *Pacifist*
* Awakened: When this unit is destroyed, put it into your bank."
"Recon","Recon","universal","universal","","effect","","uncommon","false","2","0","0","","Choose a card type, then reveal two enemy banked cards. If either card is the chosen type, draw a card."
"StewardOfTheGarden","Steward of the Garden","earthen","earthen","","unit","","common","false","1","4","0","","At the start of your turn, gain 1 energy."
"MercenaryGunslinger","Mercenary Gunslinger","universal","universal","","unit","","common","false","1","1","1","Muster","*Muster*: Deal 1 damage to any target."
"FormidablePresence","Formidable Presence","earthen","earthen","","effect","","uncommon","false","4","0","0","Battle Ready,Defender","Transform up to 3 friendly banked cards into 2/2 *Bulwark Seeds* with *Battle Ready*, and *Defender*, and put them onto the field. These units can not be damaged or destroyed. At the start of your next turn, transform the *Bulwark Seeds* back and return them to your bank. They don't give energy that turn."
"ParadigmShift","Paradigm Shift","earthen","earthen","","upgrade","","common","false","2","0","0","","Upgraded unit has +0/+2.
Double any healing upgraded unit receives."
"TradeRouteAmbush","Trade Route Ambush","universal","universal","","effect","","rare","false","3","0","0","","Waste a revealed bank card."
"SmuggledSupplies","Smuggled Supplies","universal","universal","","effect","","common","false","1","0","0","","You may play revealed cards in your bank this turn as though they were in your hand."
"SecondChance","Second Chance","universal","universal","","effect","","common","false","2","0","0","","Shuffle the enemy waste into their deck, then remove this effect from the game."
"FoundryTechnician","Foundry Technician","augencore","augencore","","unit","","uncommon","false","2","1","2","Shielded","*Shielded*
After you play an upgrade, draw a card."
"ScannerArray","Scanner Array ","augencore","augencore","","upgrade","","common","false","0","0","0","","After upgraded unit deals damage, the enemy reveals one of their banked cards."
"KamuyProtector","Kamuy Protector","earthen","earthen","","unit","","uncommon","false","4","6","3","Decay","After an adjacent unit takes *Decay* damage, play a Kamuy Protector from your deck for free."
"CunningDiplomat","Cunning Diplomat","universal","universal","","unit","","uncommon","false","2","1","0","Defender,Muster","*Defender*
*Muster*: Draw a card."
"GroveGuardian","Grove Guardian","earthen","earthen","","unit","","rare","false","1","4","0","","*Retaliate*: Deal 1 damage to a random enemy."
"PrimeaConduit","Primea Conduit","earthen","earthen","","unit","","uncommon","false","1","1","1","Muster","*Shielded, Defender*
*Muster*: Spend your remaining energy. This unit gains +1/+1 per energy spent."
"HiddenVaults","Hidden Vaults","universal","universal","","relic","","common","false","2","0","0","","You have no hand limit."
"MizraLoyalist","Mizra Loyalist","earthen","earthen","","unit","","rare","false","2","3","1","","*Retaliate*: Friendly units named Mizra Loyalist on the field, in hand, and in deck gain +1/+1."
"ArrisahSkyscout","Arrisah Skyscout","earthen","earthen","","unit","","rare","false","4","5","4","Decay,Defender","*Decay*, *Defender*
*Retaliate*: Reveal an enemy banked card."
"StoicSellsword","Stoic Sellsword","universal","universal","","unit","","common","false","2","2","2","Defender","*Defender*"
"SoleiaDiscipileOfGaffar","Soleia, Disciple of Gaffar","earthen","earthen","","unit","","legendary","false","5","4","4","Armed","At the end of your turn, if no combat damage was dealt this turn, you may pick a friendly unit to attack an enemy unit of your choice. It gains *Armed* and *Evasive* for this attack."
"PyrrhicVictory","Pyrrhic Victory","universal","universal","","effect","","uncommon","false","3","0","0","","Waste a banked card then the enemy wastes a banked card."
"JahnChiefEngineer","Jahn, Chief Engineer","augencore","augencore","","paragon","","prime","false","7","3","3","Muster","*Muster*: Reveal random friendly bank cards until an upgrade is revealed. For each card revealed, attach a copy of the revealed upgrade to target unit."
"BlackMarketSmuggler","Black Market Smuggler","universal","universal","","unit","","common","false","6","4","4","Muster","*Muster*: Gain control of target enemy relic."
"ArakCombatOverseer","Arak, Combat Overseer","augencore","augencore","","paragon","","prime","false","6","2","2","Muster","*Muster*: create *The Swarm*."
"ShadyMerchant","Shady Merchant","universal","universal","","unit","","uncommon","false","3","3","4","Muster","*Muster*: Swap a random card in your bank with a random card in the enemy bank."
"EphrathsAttendant","Ephrath's Attendant","earthen","earthen","","unit","","uncommon","false","3","4","3","","At the start of each player's turn, that player gains 1 energy.
Activate, reveal a friendly banked card: This ability doesn't trigger on the enemy's next turn. Limit once per turn."
"UnstableShieldGenerator","Unstable Shield Generator","universal","universal","","unit","","common","false","3","5","0","","At the start of your turn, destroy this unit and deal 2 damage to all units."
"Kethtrexamine","Kethtrexamine","augencore","augencore","","upgrade","","legendary","false","3","0","0","","Upgraded unit deals and takes double damage."
"KingpinsTithe","Kingpin's Tithe","universal","universal","","relic","","rare","false","4","0","0","","After the enemy draws a card, they take 1 damage."
"Rhetorician","Rhetorician","earthen","earthen","","unit","","uncommon","false","5","6","6","Pacifist","Activate, spend 2 energy: Friendly units ignore *Pacifist* this turn."
"Cytokinesis","Cytokinesis","kathari","kathari","","effect","","rare","false","3","0","0","","Choose a unit in your deck, draw all copies of it, then shuffle your deck."
"RangseiCoverBlown","Rangsei, Cover Blown","universal","universal","","unit","","common","true","0","1","1","","At the end of your turn, become a copy of target non-legendary, non-paragon unit."
"TechnophobicWarrior","Technophobic Warrior","universal","universal","","unit","","common","false","4","4","5","Muster","*Muster*: Destroy target friendly relic. Deal damage equal to that relic's cost to any target."
"AntiussForecast","Antius's Forecast","kathari","kathari","","effect","","common","false","8","0","0","Battle Ready","Play a copy of a non-legendary Clone in your bank. The copy gains *Battle Ready* and ""At the end of your turn, destroy this unit.”"
"GeneticCorrection","Genetic Correction","kathari","kathari","","effect","","uncommon","false","3","0","0","","Transform target enemy unit into a copy of target friendly unit."
"ZealousMachinist","Zealous Machinist","augencore","augencore","","unit","","uncommon","false","5","2","3","Shielded","*Shielded*
At the end of each player's turn, create a 2/2 *Howler*."
"HydrolistChamber","Hydrolist Chamber","kathari","kathari","","relic","","common","false","1","0","0","","Activate, destroy target friendly unit: Gain 1 energy.
After this is activated twice in a turn, destroy it."
"CunningScipian","Cunning Scipian ","kathari","kathari","","unit","clone","common","false","2","2","1","","At the end of your turn, create a 1/1 *Kathari Iterant*."
"RepurposedArms","Repurposed Arms","augencore","augencore","","relic","","uncommon","false","2","0","0","","Activate: Destroy target friendly upgrade and gain energy equal to half its cost, rounded down. Limit once per turn."
"GaiasCall","Gaia's Call","earthen","earthen","","relic","","legendary","false","5","0","0","Battle Ready,Pacifist","At the start of your turn, Gaia's Call gains 1 counter.
After there are 3 or more counters on Gaia's Call, destroy it and play all units in your bank for free. They gain *Battle Ready* and ignore *Pacifist* this turn."
"BelovedDonor","Beloved Donor","kathari","kathari","","unit","clone","common","false","3","2","3","Aftermath","*Aftermath*: Friendly units gain +1/+1."
"DrusianExhorator","Drusian Exhorator","kathari","kathari","","unit","clone","rare","false","5","4","3","","Other friendly Clones have +2/+1."
"TheStaffOfShoshanna","The Staff of Shoshanna","earthen","earthen","","relic","","uncommon","false","1","0","0","Decay","After a friendly unit triggers *Decay*, this relic gains 1 counter.
Activate, spend 4 energy, destroy this relic: Heal yourself equal to the number of counters on this relic."
"TabulaRasa","Tabula Rasa","kathari","kathari","","unit","","rare","false","0","1","0","Muster","*Muster*: Spend your remaining energy and reveal a friendly banked unit with cost equal to the amount of energy spent. This unit transforms into a Clone copy of the revealed unit."
"JumpRecovery","Jump Recovery","augencore","augencore","","relic","","rare","false","3","0","0","Salvage","This relic enters the field with counters equal to the number of revealed enemy bank cards.
When a friendly upgraded unit is destroyed, you may remove a counter from this relic to *Salvage* an upgrade. Limit once per turn.
After this relic has no counters, destroy it."
"EmissaryOfGaffar","Emissary of Gaffar","earthen","earthen","","unit","","rare","false","4","4","3","Pacifist","After another friendly unit is destroyed in combat, target enemy unit gains *Pacifist* until the end of the enemy’s next turn."
"EighthPalmOfGalli","Eighth Palm of Galli","kathari","kathari","","unit","","rare","false","6","4","4","Muster","*Muster*: Waste a revealed enemy bank card and play a copy of it.

This unit has +1/+1 for each revealed enemy bank card."
"MaritusAetianRecombinant","Maritus, Aetian Recombinant","kathari","kathari","","unit","clone","legendary","false","4","1","1","Muster","*Muster*: Pick two units in your waste. Maritus gains the attack and health of one and the abilities of the other."
"HardlinkedPilot","Hardlinked Pilot","augencore","augencore","","unit","","common","false","1","2","1","Shielded,Salvage,Defender","*Shielded*, *Salvage* 1
If this unit is upgraded, it gains *Defender*."
"PolyploidianVessel","Polyploidian Vessel","kathari","kathari","","upgrade","","uncommon","false","4","0","0","","At the end of your turn, create a copy of upgraded unit."
"ScrapheapSalvager","Scrapheap Salvager","augencore","augencore","","unit","","common","false","3","3","2","Salvage,Muster","*Salvage* 1
*Muster*: You may attach an upgrade with cost 3 or less from your waste onto this unit."
"OrbitalStrike","Orbital Strike","marcolian","marcolian","","effect","","rare","false","5","0","0","","Deal 5 damage to any target."
"GaffarArbiterOfEarth","Gaffar, Arbiter of Earth","earthen","earthen","","paragon","","prime","false","4","8","0","Pacifist,Defender,Pacifist","*Pacifist*, *Defender*
After Gaffar defends, the attacker gains *Pacifist*."
"MachineLearningMatrix","Machine-Learning Matrix","augencore","augencore","","relic","","rare","false","1","0","0","","At the start of your turn, you may destroy a friendly upgrade. If you do, search your deck for an upgrade that costs 1 more and attach it to a friendly unit of your choice."
"FireEverything","Fire Everything!","marcolian","marcolian","","effect","","legendary","false","5","0","0","","Draw cards equal to the highest attack among friendly units. You may play effects drawn this way for free this turn."
"UpcycledTechnology","Upcycled Technology","augencore","augencore","","upgrade","","rare","false","5","0","0","","After this is attached, select a friendly banked Augencore card. After upgraded unit is destroyed, play the chosen card for free."
"Reclamator","Reclamator","augencore","augencore","","relic","","rare","false","4","0","0","","After a friendly unit is destroyed, gain 1 energy. Limit once per turn.
After this card is banked, gain 1 extra energy."
"ResourcefulSmith","Resourceful Smith","augencore","augencore","","unit","","common","false","2","2","2","Muster,Salvage","*Muster*: Target friendly unit gains *Salvage* 2."
"Graul","G.R.A.U.L","augencore","augencore","","unit","","rare","false","4","5","3","Shielded,Muster","*Shielded*
*Muster*: You may attach an upgrade from your bank onto this unit."
"WisenedElder","Wisened Elder","earthen","earthen","","unit","","common","false","2","4","2","Decay","*Decay*"
"InnovativeApprentice","Innovative Apprentice","augencore","augencore","","unit","","uncommon","false","1","1","1","","After an upgrade is attached to this unit, draw a card."
"Premonition","Premonition","universal","universal","","effect","","uncommon","false","2","0","0","","Draw a random card from your deck with cost equal to the highest cost friendly banked card."
"EnhancedBlueprints","Enhanced Blueprints ","augencore","augencore","","effect","","rare","false","1","0","0","","If you control an upgraded unit, look at the top 3 cards of your deck and choose one to draw. Put the others on the bottom of your deck in a random order."
"KillSwitch","Kill Switch","augencore","augencore","","upgrade","","common","false","3","0","0","","After upgraded unit is destroyed, destroy target enemy unit."
"ImprovisedTactics","Improvised Tactics","marcolian","marcolian","","effect","","common","false","2","0","0","Assault","Draw two cards, then discard a card.
*Assault*: Draw two cards instead."
"MantisCorsair","Mantis Corsair","universal","universal","","unit","vehicle","common","false","5","4","4","Muster","*Muster*: Deal 3 damage to the enemy."
"GrapheneBatteries","Graphene Battery","augencore","augencore","","upgrade","","uncommon","false","2","0","0","","Upgraded unit has +4/+0. After upgraded unit is destroyed, deal damage equal to its attack to all friendly units."
"SolarGrenade","Solar Grenade","marcolian","marcolian","","effect","","rare","false","4","0","0","","Deal 2 damage to two random enemy targets.
When this card is banked, deal 1 damage to a random enemy target."
"ManipulationRay","Manipulation Ray","marcolian","marcolian","","effect","","rare","false","3","0","0","","Target unit attacks another target adjacent unit."
"InfusedShaman","Infused Shaman","earthen","earthen","","unit","","uncommon","false","3","5","2","Decay","Adjacent units have *Decay*.
*Retaliate*: Heal yourself for 1."
"Amperage","Amperage","augencore","augencore","","upgrade","","uncommon","false","3","0","0","","When upgraded unit is destroyed, deal 1 damage to all enemy units and put this upgrade into your bank revealed instead of destroying it."
"TaneShieldOfMeevTsar","Tane, Shield of Meev'Tsar","earthen","earthen","","unit","","legendary","false","8","12","9","Decay,Aftermath","*Decay*
*Aftermath*: Create *Shallow Grave*."
"HeraPlatform","H.E.R.A Platform","augencore","augencore","","unit","vehicle","uncommon","false","4","6","2","Muster","*Muster*: This unit gains attack equal to target friendly unit's health."
"CrackShot","Crack Shot","marcolian","marcolian","","effect","","uncommon","false","1","0","0","","Deal 3 damage to the enemy."
"HeroicPilot","Heroic Pilot","augencore","augencore","","unit","","common","false","6","6","6","Muster","*Muster*: This unit gains +3/+1 for each other friendly upgraded unit."
"LancerTank","Lancer Tank","marcolian","marcolian","","unit","vehicle","legendary","false","5","5","5","Assault","On attack, deal 4 damage to target enemy unit.
*Assault*: Deal 4 damage to the enemy."
"EmpShockwave","EMP Shockwave","universal","universal","","effect","","uncommon","false","3","0","0","","Choose one:

* Destroy all relics.
* Destroy all upgrades"
"SupplyDrop","Supply Drop","marcolian","marcolian","","effect","","common","false","2","0","0","Assault,Armed","Draw a card.
*Assault*: A unit in your hand gains *Armed*."
"ScimitarScoutBike","Scimitar Scout Bike","marcolian","marcolian","","unit","vehicle","rare","false","2","2","2","Assault","*Evasive*
*Assault*: Look at the top four cards of your deck. Put a Vehicle from among them on top of your deck and the rest on the bottom of your deck in a random order."
"SecurityOfficer","Security Officer","augencore","augencore","","unit","","common","false","2","2","2","Shielded","After an upgrade is attached to this unit, it gains +1/+1 and *Shielded*."
"NeutronBomb","Neutron Bomb","marcolian","marcolian","","effect","","legendary","false","3","0","0","","Deal 3 damage to target enemy unit. If that unit is destroyed, deal 2 damage to another target enemy unit. If that unit is destroyed, deal 1 damage to another target enemy unit."
"DesperateMeasures","Desperate Measures","marcolian","marcolian","","effect","","common","false","3","0","0","","Waste a friendly banked card. Deal damage equal to its cost to target enemy unit."
"UnfairAdvantage","Unfair Advantage","augencore","augencore","","effect","","uncommon","false","1","0","0","","Target upgraded friendly unit attacks an enemy unit of your choice. It gains *Evasive* for this attack."
"DeterminedAssault","Determined Assault","marcolian","marcolian","","effect","","common","false","2","0","0","","Deal 3 damage to yourself and any target."
"RepurposedHardware","Repurposed Hardware","marcolian","marcolian","","effect","","uncommon","false","4","0","0","","Put target card on the field into the enemy bank."
"FirstSonOfMars","First Son of Mars","marcolian","marcolian","","relic","","prime","false","0","0","0","","Destroy this Relic to bring a Unit back from your *Waste*. 

If banked, add an additional 3 Energy this turn."
"OrbitalPatrol","Orbital Patrol","marcolian","marcolian","","effect","","rare","false","3","0","0","","For each friendly unit, deal 1 damage to a random enemy target."
"MarcolianBannerman","Marcolian Bannerman","marcolian","marcolian","","unit","","common","false","1","2","1","","When you play an effect, this unit gains +1/+1."
"ReluctantBerserker","Reluctant Berserker","earthen","earthen","","unit","","rare","false","3","2","1","","After this unit survives damage, it gains +1/+1.
After this unit’s attack or health becomes 10 or more, destroy it and deal 10 damage to each player."
"IronCorpsRifleman","Iron Corps Rifleman","marcolian","marcolian","","unit","","rare","false","2","2","2","Armed,Muster","*Armed*
*Muster*: Deal 1 damage to the enemy."
"InterrogationTools","Interrogation Tools","marcolian","marcolian","","relic","","common","false","2","0","0","","Activate: The next time you damage the enemy this turn, they reveal one of their banked cards instead. Limit once per turn."
"FireSupportBase","Fire Support Base","marcolian","marcolian","","unit","","common","false","4","5","2","Defender","*Defender*
This unit can’t attack.
Other friendly units have +1/+1."
"LongbowPersonnelCarrier","Longbow Personnel Carrier","marcolian","marcolian","","unit","vehicle","common","false","3","4","0","Defender,Assault","*Defender*
*Assault*: Create two 1/1 *Fresh Recruits*."
"ClaymoreArtilleryGun","Claymore Artillery Gun","marcolian","marcolian","","unit","vehicle","uncommon","false","4","3","4","Assault,Armed","*Assault*: Deal 2 damage to any target.
After you play an effect, this unit gains *Armed* this turn."
"Warden","Warden","marcolian","marcolian","","upgrade","","uncommon","false","2","0","0","","When upgraded unit attacks, deal 1 damage to target enemy unit."
"RuthlessSergeant","Ruthless Sergeant","marcolian","marcolian","","unit","","uncommon","false","6","3","5","Muster","*Muster*: Waste up to 3 friendly banked cards. For each card wasted, target a unit to deal 2 damage to."
"TacticalDisplay","Tactical Display","marcolian","marcolian","","relic","","uncommon","false","3","0","0","","After a friendly non-token unit enters the field, deal 1 damage to the enemy and heal yourself for 1."
"CrimsonFleetMachinist","Crimson Fleet Machinist","marcolian","marcolian","","unit","","common","false","1","2","1","Muster","*Muster*: Draw a random Vehicle.
When a friendly Vehicle enters the field, it gains +0/+1."
"UnstableDrone","Unstable Drone","marcolian","marcolian","","unit","vehicle","common","false","5","4","3","Defender,Aftermath","*Defender*
*Aftermath*: Deal damage equal to this unit's attack to target enemy unit."
"CombatVeteran","Combat Veteran","marcolian","marcolian","","unit","","common","false","2","3","1","","After this unit deals combat damage, it gains +1/+1."
"TheFlatCircle","The Flat Circle","shroud","shroud","","effect","","common","false","3","0","0","","Put target non-Paragon card into its owner’s hand."
"CatherineLapointeTheMadGeneral","Catherine Lapointe, The Mad General","marcolian","marcolian","","paragon","","prime","false","4","5","5","","After you end your turn, Catherine attacks a random enemy.
Catherine can't attack on your turn."
"BeseechTheGifted","Beseech the Gifted","shroud","shroud","","effect","","uncommon","false","2","0","0","","Draw a random effect."
"EntropysReach","Entropy's Reach","shroud","shroud","","effect","","uncommon","false","1","0","0","","Add a copy of a revealed enemy bank card to your hand."
"AshesToAshes","Ashes to Ashes","shroud","shroud","","effect","","rare","false","2","0","0","","Banish a random card in your hand. Draw 2 cards."
"DarkAllure","Dark Allure","shroud","shroud","","effect","","uncommon","false","8","0","0","","Gain control of target enemy unit."
"EnthalpysGrasp","Enthalpy's Grasp","shroud","shroud","","effect","","uncommon","false","4","0","0","","Deal damage to target unit equal to the number of cards in your singularity."
"SacredDestruction","Sacred Destruction","shroud","shroud","","effect","","common","false","6","0","0","","Destroy target unit. If you've played Sacred Destruction three or more times this game, create a 9/9 *Bela, Wielder of Unmaking*."
"Demolecularize","Demolecularize","shroud","shroud","","effect","","common","false","8","0","0","","Banish all units."
"TheVoidUnleashed","The Void Unleashed","shroud","shroud","","effect","","rare","false","6","0","0","","For each card in your singularity, deal 1 damage to a random enemy target."
"LifeSiphon","Life Siphon","shroud","shroud","","effect","","common","false","2","0","0","","Deal 2 damage to target unit. If this would destroy that unit, banish it instead."
"VoidCrystal","Void Crystal","shroud","shroud","","relic","","uncommon","false","2","0","0","","The first time a card is banished on your turn, gain 1 energy."
"PocketDimension","Pocket Dimension","shroud","shroud","","relic","","rare","false","4","0","0","","Skip your start of turn and end of turn draws.
After an effect is played, choose one:

* Draw a card.
* Put a random card from your singularity into your hand."
"CollapsingStar","Collapsing Star","shroud","shroud","","relic","","legendary","false","4","0","0","","Collapsing Star enters the field with 3 counters.
At the start of your turn, remove 1 counter from Collapsing Star. 
At the end of your turn, banish a random card from your bank or hand. If you can't, banish Collapsing Star.
After the last counter is removed from Collapsing Star, play up to three cards from your singularity for free, then banish Collapsing Star."
"DimensionShifter","Dimension Shifter","shroud","shroud","","relic","","rare","false","4","0","0","","At the end of your turn, banish a random friendly unit and put a random unit from your singularity onto the field."
"SingularitySteward","Singularity Steward","shroud","shroud","","unit","","common","false","1","3","0","","After a unit is banished, this unit gains +2/+1."
"TomeOfAetio","Tome of Aetio","kathari","kathari","","relic","","common","false","1","0","0","","After a unit enters your waste, this relic gains 1 counter.
At the start of your turn, if this relic has 5 or more counters, create a 1/1 *Kathari Iterant*.
At the start of your turn, if this relic has 10 or more counters, create two 1/1 *Kathari Iterants* instead.
At the start of your turn, if this relic has 20 or more counters, create three 1/1 *Kathari Iterants* instead."
"PowerInstructor","Power Instructor","shroud","shroud","","unit","","uncommon","false","5","4","5","Muster","*Muster*: Choose a card in your deck, draw it, then shuffle your deck."
"SpiderDrone","Spider Drone","shroud","shroud","","unit","vehicle","uncommon","false","3","2","2","Muster","*Muster*: Each player banks a random card from hand. If a player can't, they take 4 damage."
"FanaticalCrewman","Fanatical Crewman","shroud","shroud","","unit","","common","false","3","3","3","Muster","*Muster*: Put the top two cards of each player's deck into your singularity."
"Voidrunner","Voidrunner","shroud","shroud","","unit","","uncommon","false","2","1","2","Muster","*Muster*: Deal 1 damage to target enemy unit. If that unit is destroyed this turn, banish it."
"MortalEcho","Mortal Echo","shroud","shroud","","upgrade","","rare","false","2","0","0","","Attach only to a non-paragon enemy unit.
After upgraded unit is destroyed or banished, create a 1/1 copy under your control."
"UnseenAllies","Unseen Allies","shroud","shroud","","effect","","common","false","4","0","0","","Until the end of your next turn, you may play cards from your singularity as though it was in your hand."
"SpectreAttackCraft","Spectre Attack Craft","shroud","shroud","","unit","vehicle","rare","false","3","4","3","","*Evasive*
After this unit deals combat damage on your turn, reveal a banked enemy card and draw a card. If the enemy has any banked upgrades revealed, you may put a random card from your singularity into your hand instead."
"SowerOfUnrest","Sower of Unrest","earthen","earthen","","unit","","uncommon","false","3","3","4","Pacifist","All units ignore *Pacifist*."
"RealityManipulator","Reality Manipulator","shroud","shroud","","unit","","rare","false","4","5","3","","After this unit deals damage to the enemy, reveal a friendly banked card and draw a card. The two cards swap costs."
"RainsoakedMourner","Rainsoaked Mourner","earthen","earthen","","unit","","common","false","2","3","3","Pacifist,Aftermath,Decay","*Pacifist*
This unit can't be healed.
*Aftermath*: If this unit was destroyed by *Decay* damage, deal 3 damage to all enemy units."
"ExposedSecrets","Exposed Secrets","shroud","shroud","","upgrade","","uncommon","false","3","0","0","","After upgraded unit is destroyed, select cards from your singularity equal to the number of revealed enemy bank cards and put them into your hand."
"ArdentNegotiator","Ardent Negotiator ","earthen","earthen","","unit","","uncommon","false","4","5","2","Defender","*Defender*
After this unit defends and survives, put the attacking unit into its owner’s hand."
"CeremonialRites","Ceremonial Rites","earthen","earthen","","effect","","common","false","2","0","0","","Damaged friendly units gain +2/+2."
"DoctorsAssistant","Doctor's Assistant ","earthen","earthen","","unit","","common","false","3","4","3","Muster","*Muster*: Reveal a friendly banked card. Heal a friendly unit equal to the revealed card’s cost."
"ShaymakStoneEyes","Shaymak Stone-Eyes","earthen","earthen","","unit","","common","false","11","7","7","Muster","While in hand, reduce the cost of this unit by 1 when you are healed.
*Muster*: Draw three cards."
"ShoshannasStandard","Shoshanna's Standard","earthen","earthen","","relic","","rare","false","1","0","0","Decay","After a friendly unit takes *Decay* damage, it gains +1/+0."
"RugPull","Rug Poll","universal","universal","","relic","","rare","false","3","0","0","","If a friendly unit is targeted by an enemy effect, you may change the target to this relic instead, then destroy this relic."
