"Card","Card","Parallel","Parallel","","Type","Subtype","Rarity","Token","Cost","Health","Attack","Keywords","Function"
"JonahTheUndecided","Jonah the Undecided","earthen","earthen","","unit","","legendary","false","5","8","3","Defender,Pacifist,Pacifist","*Defender*
After Jonah defends and survives, he gains 1 counter.
After Jonah gains a third counter, choose one:

* All units on the field gain *Pacifist*.
* All units on the field lose *Pacifist*."
"ReliantGamma","Reliant Gamma","kathari","kathari","","unit","clone","uncommon","false","1","1","1","","At the start of your turn, if you control another friendly Clone, this unit gains +1/+1."
"ProgenitorPod","Progenitor Pod","kathari","kathari","","unit","","legendary","false","3","8","0","","Progenitor Pod can't attack.
At the end of your turn, if a friendly unit was destroyed, Progenitor Pod gains a counter.
At the start of your turn, if Progenitor Pod has 3 or more counters, remove 3 counters to return a unit from any waste to the field under your control."
"ValerusiCohorts","Valerusi Cohorts","kathari","kathari","","unit","clone","common","false","4","4","3","","At the start of your turn, if you don't control a *Gnaeus’ Vanguard*, create a 2/2 *Gnaeus’ Vanguard* that immediately attacks."
"ValerusiStandardBearer","Valerusi Standard Bearer","kathari","kathari","","unit","clone","uncommon","false","2","3","1","","When another friendly Clone enters the field, it gains +1/+1."
"SixthPalmOfGalli","Sixth Palm of Galli","kathari","kathari","","unit","","rare","false","6","1","1","Muster","*Muster*: This unit gains 6 counters.

This unit has +1/+1 for each counter on it.
If this unit would take damage, remove a counter instead.
After this unit has no counters, destroy it."
"DiscipleOfMaritus","Disciple of Maritus","kathari","kathari","","unit","clone","uncommon","false","4","3","4","Aftermath","After a friendly Kathari unit is destroyed, this unit gains 1 counter.
*Aftermath*: Create a 1/1 *Kathari Iterant* for each counter on this unit."
"GnaeusValerusAlpha","Gnaeus Valerus Alpha","kathari","kathari","","paragon","","prime","false","4","5","3","","On attack, up to 3 other target friendly units have +1/+2 this turn."
"JuggernautWorkshop","Juggernaut Workshop","augencore","augencore","","paragon","","prime","false","0","0","0","","This Paragon cannot be played to the field"
"BrandStewardEternal","Brand, Steward Eternal","shroud","shroud","","paragon","","prime","false","5","6","4","Aftermath","After Brand damages another unit, banish that unit transformed into a 4/4 *Corrupted Vision*.
*Aftermath*: Return all *Corrupted Visions* from your singularity to the field under your control."
"ScipiusMagnusAlpha","Scipius Magnus Alpha","kathari","kathari","","paragon","","prime","false","5","3","3","","*Muster:* Trigger all Muster abilities that you have activated this game with targets chosen randomly."
"NiamhWielderofFaith","Niamh, Wielder of Faith","shroud","shroud","","paragon","","prime","false","9","6","6","Battle Ready,Muster","*Battle Ready*, *Evasive*
Niamh can't be targeted by effects.
*Muster*: For each effect, relic, and upgrade you've played this game, play a random unit from any parallel with the same cost."
"AetioExaltedHydrolist","Aetio, Exalted Hydrolist","kathari","kathari","","paragon","","prime","false","8","1","0","Muster","*Muster*: If your deck is empty, create and play *Aetio’s Iterant* with *Evasive* and the sum of all attack, health, and keywords of units in your waste. *Aetio's Iterant* immediately attacks the enemy."
"NewDawn","The New Dawn","shroud","shroud","","paragon","vehicle","prime","false","3","6","0","","The New Dawn can't be targeted by effects. 
Activate, spend 1 energy, banish The New Dawn: At the start of your next turn, return The New Dawn to the field and put a card from your singularity into your hand."
"ShepherdOfTheFallen","Shepherd of the Fallen","shroud","shroud","","unit","","rare","false","4","6","3","","If a card would enter the enemy waste, banish it instead."
"ShoshannaRebuilderOfEarth","Shoshanna, Rebuilder of Earth","earthen","earthen","","paragon","","prime","false","9","10","12","Muster","*Muster*: Set your health to 30."
"SacredSiphoner","Sacred Siphoner","shroud","shroud","","unit","","uncommon","false","5","4","3","Defender,Aftermath","*Defender*
After this unit enters the field, put a card from your singularity into your hand.
*Aftermath*: Put a card from your singularity into your hand."
"SquadTraitor","Squad Traitor","universal","universal","","unit","","uncommon","false","3","1","3","Muster","*Muster*: Destroy another target friendly unit then draw two cards."
"NehemiahDefenderOfEarth","Nehemiah, Defender of Earth","earthen","earthen","","paragon","","prime","false","4","7","0","Defender,Defender","*Defender*
Friendly units with *Defender* deal damage equal to their current health instead of attack."
"Saboteur","Saboteur","universal","universal","","unit","","uncommon","false","3","2","2","Muster","*Muster*: Destroy target enemy relic."
"ArtifactAppraiser","Artifact Appraiser","universal","universal","","unit","","common","false","1","2","1","","If you control a relic, this unit has +2/+0."
"MalachiteShield","Malachite Shield","earthen","earthen","","upgrade","","uncommon","false","3","0","0","Defender","Upgraded unit has +1/+4 and *Defender*.
After this unit deals damage to a player, that player reveals one of their banked cards."
"WannabeWarlord","Wanna-be Warlord","universal","universal","","unit","","rare","false","1","3","0","Armed","This unit can’t attack.
If this unit’s attack is over 10, it loses “This unit can’t attack.” and gains:

* *Armed*
* *Evasive*
* This unit may attack twice per turn.
* On attack, draw a card."
"LifeWell","Life Well","universal","universal","","relic","","uncommon","false","2","0","0","","At the start of each player’s turn, heal that player and all units they control for 1."
"MasterPoisoner","Master Poisoner","universal","universal","","unit","","rare","false","4","3","1","","Destroy any unit dealt damage in combat."
"AkaraRebelGeneral","Akara, Rebel General","universal","universal","","unit","","legendary","false","5","3","3","Muster","*Muster*: Deal damage to the enemy and heal yourself equal to the number of friendly units on the field."
"Annihilate","Annihilate","universal","universal","","effect","","rare","false","5","0","0","","Destroy target unit or relic."
"GaffarsPeacePipe","Gaffar's Peace Pipe","earthen","earthen","","relic","","legendary","false","4","0","0","Pacifist","At the start of each player's turn, Gaffar's Peace Pipe gains 1 counter and a random unit that player controls gains *Pacifist* until Gaffar's Peace Pipe leaves the field.
After there are 6 or more counters on Gaffar's Peace Pipe, destroy it."
"InspiringTeacher","Inspiring Teacher","universal","universal","","unit","","common","false","3","2","2","Aftermath","*Aftermath*: Create a 2/1 *Furious Student*."
"Ds1PrototypeFrigate","DS-1 Prototype Frigate","universal","universal","","unit","vehicle","uncommon","false","7","6","10","","After this unit survives combat damage, draw a card."
"FreydisEchelonKingpin","Freydis, Echelon Kingpin","universal","universal","","unit","","legendary","false","8","8","4","Muster","*Muster*: If your starting deck contains only universal cards:

* Draw 4 cards.
* Deal 4 damage to any target.
* A unit gains +4/+4.
* Heal yourself for 4.
* Put a unit with energy cost 4 or less from your waste onto the field."
"HiredGun","Hired Gun","universal","universal","","unit","","common","false","2","3","2","",""
"CrewBoss","Crew Boss","universal","universal","","unit","","uncommon","false","5","4","4","","Other friendly units have +1/+1."
"RousingSignum","Rousing Signum","kathari","kathari","","relic","","uncommon","false","3","0","0","Muster","The first time a friendly Kathari Iterant is created on your turn, trigger target non-paragon unit's *Muster*."
"CommandeeredWarship","Commandeered Warship","universal","universal","","unit","vehicle","rare","false","8","8","5","","At the start of your turn, this unit deals 4 damage to two random enemies."
"ChemCrazedBruiser","Chem-Crazed Bruiser","universal","universal","","unit","","common","false","7","7","8","Muster","*Muster*: This unit gains 3 counters.

If this unit would take damage, remove a counter instead.
After this unit has no counters, destroy it."
"NucleoticSynthesizer","Nucleotic Synthesizer","kathari","kathari","","relic","","rare","false","1","0","0","","The first time you bank a unit on your turn, this relic gains a counter.
Activate, remove 3 counters from this relic: Swap a card in your hand with a friendly banked unit. Reduce the cost of the unit put into your hand by 1."
"UnnaturalSelection","Unnatural Selection","kathari","kathari","","effect","","uncommon","false","2","0","0","","Discard a card, then draw a card. If the card drawn is a unit, create a 1/1 *Kathari Iterant* and draw another card."
"BeaconOfGnaeus","Beacon of Gnaeus","kathari","kathari","","relic","","common","false","4","0","0","Armed","The first time a unit deals combat damage to the enemy player on your turn, choose one:

* Target unit gains *Armed* until your next turn.
* Draw a card.
* Create two 1/1 *Kathari Iterants*."
"","Pirate Raider","universal","universal","","unit","pirate","n/a","true","2","1","2","Battle Ready","Battle Ready"
"ScannerProbe","Scanner Probe","universal","universal","","unit","","legendary","false","2","2","1","Battle Ready","*Battle Ready*
On attack, look at the top card of the enemy’s deck. You may swap a card from your hand with that card."
"Sanctuary","Sanctuary","universal","universal","","relic","","legendary","false","1","0","0","","Activate, discard a card: Add a random universal unit to your hand. Limit once per turn."
"SupplyAndDemand","Supply & Demand","universal","universal","","effect","","common","false","4","0","0","","Draw two cards."
"DanaSilvertongue","Dana Silvertongue","universal","universal","","unit","","legendary","false","4","6","4","","Activate, discard a card: Dana gains a counter. Limit once per turn.
At the start of your turn, draw a random enemy card with cost equal to the number of counters on Dana. You may remove all counters from Dana to play the card for free. If the card is not played, put it on the bottom of the enemy's deck."
"Ps8Launcher","PS-8 Launcher","universal","universal","","effect","","uncommon","false","1","0","0","","Deal 2 damage to target unit."
"RangseiMasterImposter","Rangsei, Master Imposter","universal","universal","","unit","","legendary","false","4","1","1","Muster,Aftermath","*Muster*: Rangsei becomes a copy of target non-legendary, non-paragon unit and gains ""*Aftermath*: If this unit was copying another unit, create a 1/1 *Rangsei, Cover Blown*."""
"Thundr001Munitions","THUNDR-01 Munitions","augencore","augencore","","relic","","uncommon","false","3","0","0","","Increase damage dealt and taken by friendly units by 1."
"ThePriming","The Priming","universal","universal","","effect","","prime","false","4","0","0","","Destroy all units. 

Take the enemy's hand and put it into your *Bank*. 

Draw cards until your hand is full. 

If this card is banked, you lose the game."
"AntiOrganicPulse","Anti-Organic Pulse","augencore","augencore","","effect","","rare","false","7","0","0","","Destroy all non-upgraded units."
"VirulentSpores","Virulent Spores","earthen","earthen","","effect","","uncommon","false","3","0","0","Decay","All units gain *Decay*."
"ShipsArmory","Ship's Armory","augencore","augencore","","effect","","rare","false","3","0","0","","Draw cards equal to the number of upgrades attached to friendly units."
"TheTreeOfNehemiah","The Tree of Nehemiah","earthen","earthen","","relic","","uncommon","false","4","0","0","","At the start of your turn, create a 0/2 *Grove Attendant*. If there are at least 3 revealed enemy bank cards, create a 2/2 *Grove Sentry* instead."
"SignalJammer","Signal Jammer","marcolian","marcolian","","relic","","rare","false","4","0","0","","Each player can only draw one card per turn."
"GroveSentry","Grove Sentry","earthen","earthen","","unit","","common","true","0","2","2","Aftermath","*Aftermath*: Reveal an enemy banked card."
"AegisGenerator","A.E.G.I.S Generator","augencore","augencore","","upgrade","","rare","false","2","0","0","Shielded","At the end of your turn, upgraded unit gains +0/+2 and *Shielded*."
"GroveTender","Grove Attendant","earthen","earthen","","unit","","common","true","0","2","0","Aftermath","*Aftermath*: Reveal an enemy banked card."
"StarChart","Star Chart","universal","universal","","relic","","rare","false","3","0","0","","At the start of your turn, look at the top three cards of your deck and put one into your hand instead of drawing a card. Put the others on the bottom of your deck in a random order."
"ArcWalker","Arc Walker","augencore","augencore","","unit","","common","true","0","3","3","",""
"AetiosIterant","Aetio's Iterant","kathari","kathari","","unit","clone","common","true","0","0","0","",""
"Howler","Howler","augencore","augencore","","unit","","common","true","0","2","2","",""
"DefenseJuggernaut","Defense Juggernaut","augencore","augencore","","unit","","common","true","0","6","3","Defender","*Defender*"
"TheSwarm","The Swarm","augencore","augencore","","unit","","common","true","0","4","4","Aftermath","*Aftermath*: Create two 1/1 *Nanobots*."
"Nestor","Nestor","augencore","augencore","","unit","","common","true","0","3","2","Defender","*Defender*"
"Nanobot","Nanobot","augencore","augencore","","unit","","common","true","0","1","1","","Activate: Transform Nanobot into *Nanite* and attach it to a unit."
"Elvex","Elvex","augencore","augencore","","unit","","common","true","0","2","3","Armed","*Armed*"
"RecombinantClone","Recombinant Clone","kathari","kathari","","unit","clone","common","true","0","2","2","",""
"ArchivistsPride","Archivist's Pride","kathari","kathari","","effect","","common","false","1","0","0","","Add four copies of a friendly banked non-legendary Kathari unit to your deck."
"ShallowGrave","Shallow Grave","earthen","earthen","","relic","","common","true","0","0","0","","Shallow Grave enters the field with 1 counter.
At the start of your next turn, remove a counter from Shallow Grave. After Shallow Grave has no counters, destroy it and put *Tane* from your waste onto the field."
"FuriousStudent","Furious Student","universal","universal","","unit","","common","true","0","1","2","",""
"VanguardInfiltrator","Vanguard Infiltrator","marcolian","marcolian","","unit","","common","true","0","1","1","",""
"OttianLegionnaire3","Ottian Legionnaire","kathari","kathari","","unit","","common","true","0","1","1","",""
"OttianLegionnaire2","Ottian Legionnaire","kathari","kathari","","unit","","common","true","0","3","3","Aftermath","*Aftermath*: Create two 1/1 *Ottian Legionnaires*."
"IshkurAraksEnforcer","Ishkur, Arak's Enforcer","augencore","augencore","","unit","","rare","true","6","6","5","Muster","*Muster*: Give each friendly un-upgraded Unit a random Upgrade.

When this Unit is destroyed, repeat it’s Muster."
"CleanseTheEarth","Cleanse the Earth","earthen","earthen","","effect","","rare","false","2","0","0","","Put target enemy non-Paragon unit into the opponent's hand. If you have less than 10 health, target up to two enemy non-Paragon units instead."
"IlanaKeeperOfTheVault","Ilana, Keeper of the Vault","earthen","earthen","","unit","","legendary","true","4","5","3","","Decay

Friendly units can no longer be destroyed by Decay. 

This unit has +1/+0 for each friendly unit with Decay."
"ImprovisedProjectile","Improvised Projectile","augencore","augencore","","effect","","common","false","2","0","0","","Destroy target friendly upgrade then deal 4 damage to target enemy unit."
"AutomationExpert","Automation Expert","augencore","augencore","","unit","","common","false","3","1","1","Muster,Defender,Armed","*Muster*: Choose one:

* Create a 2/3 *Nestor* with *Defender*.
* Create a 3/2 *Elvex* with *Armed*."
"AssemblyForeman","Assembly Foreman","augencore","augencore","","unit","","rare","false","2","1","2","","Activate: Choose one:

* Spend 1 energy: Create a 1/1 *Servo Arm*.
* Waste a friendly banked card: Create a 3/3 *Arc Walker*.

Limit once per turn."
"LifeVault","Life Vault","earthen","earthen","","relic","","rare","false","1","0","0","","After you heal a damaged unit or player, this relic gets 1 counter.
Activate, remove 30 counters from this relic and destroy it: Play all cards in your deck for free in order, starting from the top."
"FlurryOfGenius","Flurry of Genius","augencore","augencore","","effect","","legendary","false","8","0","0","","Play all upgrades from your waste to friendly units, divided as you choose."
"EyeOfGalli","Eye of Galli","kathari","kathari","","effect","","rare","false","3","0","0","","Draw the top card of the enemy deck and reduce its cost by 2. If that card is a unit, it is also a Clone."
"MournfulDelta","Mournful Delta","kathari","kathari","","unit","clone","rare","false","4","2","4","","After another friendly unit is destroyed, draw a card."
"LemieuxMasterCommando","Lemieux, Master Commando","marcolian","marcolian","","paragon","","prime","false","5","5","2","Muster,Assault","*Muster*: Choose one:

* Destroy a unit.
* Put a unit from your waste into your hand.
* Friendly units have +1/+1 this turn.

*Assault*: Do all three."
"AmmoHauler","Ammo Hauler","marcolian","marcolian","","unit","vehicle","rare","false","3","3","1","","After a card is removed from your bank for the first time on your turn, if the enemy has more banked cards than you, you may spend 2 energy to have the enemy waste one of their banked cards."
"JuryRiggedJuggernaut","Jury-Rigged Juggernaut","augencore","augencore","","unit","","legendary","false","8","4","2","Battle Ready,Muster","*Battle Ready*
*Muster*: Attach all upgrades in your bank to Jury-Rigged Juggernaut. At the end of your turn, return those upgrades to your bank and destroy Jury-Rigged Juggernaut."
"IronCorpsQuartermaster","Iron Corps Quartermaster","marcolian","marcolian","","unit","","uncommon","false","3","3","2","Assault","After an enemy banked card is revealed, you may put an effect from your waste into your hand.
*Assault*: Reveal an enemy banked card."
"HeavyWeaponsTeam","Heavy Weapons Team","marcolian","marcolian","","unit","","common","false","1","4","1","","This unit can’t attack.
At the start of your turn, deal 1 damage to the enemy."
"EliteSharpshooter","Elite Sharpshooter","marcolian","marcolian","","unit","","rare","false","2","2","1","","Destroy any unit dealt damage in combat by this unit."
"DarkDealings","Dark Dealings","shroud","shroud","","effect","","common","false","4","0","0","","Choose a card from your waste and a card from your singularity and put them into your hand. Take 4 damage."
"Erasure","Erasure","shroud","shroud","","effect","","common","false","3","0","0","","Banish target unit."
"CostOfCreation","Cost of Creation","shroud","shroud","","effect","","rare","false","2","0","0","","Discard any number of cards in your hand, then draw that many. Take damage equal to the number of discarded cards. If you discard all cards in your hand, put them in the singularity.

"
"LoyalComrade","Loyal Comrade","marcolian","marcolian","","unit","","rare","false","3","3","2","","After this unit deals combat damage, create a *Sister in Arms* that immediately attacks the damaged enemy if possible."
"MindTwister","Mind Twister","shroud","shroud","","effect","","common","false","4","0","0","","Conceal all bank cards. Randomly redistribute each bank card evenly between both players, starting with the enemy."
"SingularityPortal","Singularity Portal","shroud","shroud","","effect","","rare","false","3","0","0","","Put cards from your deck into your singularity equal to the number of cards in your hand."
"Paradox","Paradox","shroud","shroud","","relic","","rare","false","1","0","0","","After an enemy unit is destroyed, you may take 1 damage to banish it."
"BattleHardenedWarrior","Battle Hardened Warrior","earthen","earthen","","unit","","uncommon","false","4","6","4","","After this unit is healed, it gains attack equal to the health restored."
"NullifierAcolyte","Nullifier Acolyte","shroud","shroud","","unit","","uncommon","false","2","4","1","Aftermath","Effects that target you or other friendly units cost 2 more.
*Aftermath*: Banish this unit."
"GallianOrator","Gallian Orator","kathari","kathari","","unit","clone","rare","false","10","4","4","Muster","This unit costs 1 less (to a minimum of 1) for each friendly *Kathari Iterant*.
*Muster*: Transform target unit into a *Kathari Iterant*, then create two 1/1 *Kathari Iterants*."
"OttiusCytokineticLegate","Ottius, Cytokinetic Legate","kathari","kathari","","unit","","legendary","false","8","6","6","Aftermath","*Aftermath*: Create two 6/6 *Ottian Legionnaires*."
"GallianRecombinant","Gallian Recombinant","kathari","kathari","","unit","clone","rare","false","6","3","3","Muster","*Muster*: Choose one:

* Create a *Recombinant Clone* with target friendly unit's attack and health.
* Create a 2/2 *Recombinant Clone* with target friendly non-paragon unit's abilities."
"TheGreatEnigma","The Great Enigma","shroud","shroud","","unit","","legendary","false","6","6","5","Battle Ready","*Battle Ready*, *Evasive*
As an additional cost to play The Great Enigma, destroy a friendly unit and relic.
After The Great Enigma deals damage to the enemy, play a random card from their hand."
"ArmouredDivisionHQ","Armoured Division HQ","marcolian","marcolian","","paragon","","prime","false","3","4","1","Shielded","*Shielded*
Armoured Division HQ can’t attack.
The first time a friendly Vehicle deals damage to a player each turn, draw a card."
"BoraWielderOfRage","Bora, Wielder of Rage","shroud","shroud","","unit","","legendary","false","8","0","0","Shielded,Muster","*Shielded*
*Muster*: Put the top 3 cards of each player's deck into your singularity.

When Bora attacks, put the top 3 cards of both player's decks into your singularity.
Bora has attack and health equal to the number of cards in your singularity."
"ValerusiStriker","Valerusi Striker","kathari","kathari","","unit","clone","common","false","1","1","2","","If you control two *Valerusi Strikers*, this card has +1/+0.
If you control three or more *Valerusi Strikers*, this card has +2/+0 and *Evasive* instead."
"VoiceOfEuropa","Voice of Europa","kathari","kathari","","unit","clone","rare","false","3","4","2","","The first time you create a *Kathari Iterant* each turn, create one more."
"VoidTouchedNovice","Void-Touched Novice","shroud","shroud","","unit","","uncommon","false","2","2","2","Muster","*Muster*: Deal 1 damage to a random enemy unit. If this would destroy the enemy unit, banish it instead.

If this unit would enter the waste, banish it transformed into *Void-Touched Adept* instead."
"EngineWhisperer","Engine Whisperer","shroud","shroud","","unit","","common","false","1","1","1","","Effects you play cost 1 less."
"HonoredSteward","Honored Steward","shroud","shroud","","unit","","common","false","4","4","4","Muster","*Muster*: Banish target enemy unit until this unit leaves the field."
"LeonidWielderOfCorruption","Leonid, Wielder of Corruption","shroud","shroud","","unit","","legendary","false","9","6","0","","Leonid can't attack or be targeted by enemy effects.
At the end of your turn, gain control of target enemy unit or relic until Leonid leaves the field."
"ShieldedAssassin","Shielded Assassin","universal","universal","","unit","","uncommon","false","1","1","1","","This unit can't be targeted by enemy effects."
"EchelonHeavy","Echelon Heavy","universal","universal","","unit","","common","false","2","2","2","Aftermath","*Aftermath*: You may deal 1 damage to target unit."
"BackupCopy","Back Up Copy","kathari","kathari","","effect","","common","false","1","0","0","","Put target friendly unit into your hand. It can't be played this turn."
"AetianSubjugate","Aetian Subjugate","kathari","kathari","","unit","clone","uncommon","false","3","3","2","","After a friendly Clone enters the field, target unit gains +1/+1 and waste the top card of your deck."
"AlkalineHydrolist","Alkaline Hydrolist","kathari","kathari","","unit","clone","common","false","2","2","3","Muster","*Muster*: Waste the top card of your deck."
"VengefulAlly","Vengeful Ally","universal","universal","","unit","","common","false","2","2","1","","After another friendly unit is destroyed, this unit gains +1/+1."
"EnduringImmunus","Enduring Immunus","kathari","kathari","","unit","clone","common","false","3","3","2","","The first time each turn another friendly non-token Kathari unit would be destroyed, put it into your hand instead."
"DoubleAgent","Double Agent","universal","universal","","unit","","uncommon","false","2","3","3","Aftermath","*Aftermath*: Put this unit into the enemy bank."
"FormaticiansExalt","Formatician's Exalt ","kathari","kathari","","unit","clone","common","false","4","4","2","Muster","After this enters your waste from anywhere other than the field, create a 1/1 *Kathari Iterant*.
*Muster*: Draw a card."
"Synchronicity","Synchronicity","kathari","kathari","","effect","","common","false","4","0","0","","Play a copy of target non-paragon unit."
"DefiantClone","Defiant Clone","universal","universal","","unit","clone","uncommon","false","2","3","0","","After a friendly unit enters the field, this unit gains +1/+0."
"PirateJunker","Pirate Junker","universal","universal","","unit","vehicle","common","false","5","6","3","",""
"GamblersCoin","Gambler's Coin","universal","universal","","effect","","legendary","false","1","0","0","","Shuffle your hand into your deck, then draw that many cards."
"Te4Interceptor","TE4 Interceptor","universal","universal","","unit","vehicle","common","false","5","3","3","Muster","*Muster*: You may deal 3 damage to target unit."
"MementoOfTheFallen","Memento of the Fallen","universal","universal","","upgrade","","legendary","false","3","0","0","","Each time this Upgrade is attached to a Unit, place a +1/+1 counter on it. 

The Upgraded Unit has additional attack and health equal to the number of counters on this Upgrade. 

When the Upgraded Unit is destroyed, you may move this Upgrade to another friendly Unit instead of wasting it. 

If this Upgrade would be wasted on the enemy’s turn, instead remove all counters and return the Upgrade to your hand."
"HadesWarMech","H.A.D.E.S War Mech","augencore","augencore","","unit","","rare","false","5","5","5","","Upgrades you play on this unit cost 1.
On attack, also deal damage to the enemy equal to the number of upgrades attached to this unit."
"LordHarfCartelTreasurer","Lord Harf, Cartel Treasurer","universal","universal","","unit","","legendary","false","2","3","1","","Effects you play cost 1 less.
Effects the enemy plays cost 1 more."
"WongPurveyorOfCuriosities","Wong, Purveyor of Curiosities","universal","universal","","unit","","legendary","false","4","4","4","Muster","*Muster*: Look at the top 5 cards of your deck. Choose any number of those cards with different card types and draw them. Put the rest on the bottom of your deck in a random order. For each card type drawn, give a random friendly unit +1/+1."
"PointDefenseTurret","Point Defense Turret","augencore","augencore","","relic","","rare","false","3","0","0","","This relic enters the field with 1 counter.
When the enemy plays an effect, this relic gains 1 counter.
Activate, remove 1 counter: Deal 2 damage to any target."
"GallianIterant","Gallian Iterant","kathari","kathari","","unit","clone","common","true","0","1","1","Defender","*Defender*"
"Tombstone","Tombstone","earthen","earthen","","unit","","common","true","0","0","0","Defender,Pacifist","*Defender*, *Pacifist*
At the start of your next turn, destroy this unit."
"SisterInArms","Sister in Arms","marcolian","marcolian","","unit","","common","true","0","1","1","",""
"AttackJuggernaut","Attack Juggernaut","augencore","augencore","","unit","","common","true","0","4","4","Armed","*Armed*"
"FreshRecruit","Fresh Recruit","marcolian","marcolian","","unit","","common","true","0","1","1","",""
"BulwarkSeed","Bulwark Seed","earthen","earthen","","unit","","common","true","0","2","2","Battle Ready,Defender","*Battle Ready*, *Defender*

This unit can not be damaged or destroyed.

This unit turns into a banked card at the start of your next turn "
"KathariIterant","Kathari Iterant","kathari","kathari","","unit","clone","common","true","0","1","1","",""
"SeeingTriple","Seeing Triple","kathari","kathari","","effect","","common","false","4","0","0","Defender","Create three 1/1 *Gallian Iterants* with *Defender*."
"OttianLegionnaire","Ottian Legionnaire ","kathari","kathari","","unit","","common","true","0","6","6","Aftermath","*Aftermath*: Create two 3/3 *Ottian Legionnaires*."
"ScipiusAdjutant","Scipius' Adjutant ","kathari","kathari","","unit","clone","common","true","0","1","0","",""
"GnaeusVanguard","Gnaeus' Vanguard","kathari","kathari","","unit","clone","common","true","0","2","2","",""
"VoidTouchedAdept","Void-Touched Adept","shroud","shroud","","unit","","common","true","5","4","4","Muster","*Muster*: Deal 3 damage to a random enemy unit.

If this would destroy the enemy unit, banish it instead. If this unit would enter the waste, banish it transformed into *Void-Touched Master* instead."
"VoidTouchedMaster","Void-Touched Master","shroud","shroud","","unit","","common","true","8","6","6","Muster","*Muster*: The next card you play this turn is free."
"BelaWielderOfUnmaking","Bela, Wielder of Unmaking","shroud","shroud","","unit","","common","true","0","9","9","","Bela can't be targeted by effects.
When Bela attacks, you may destroy target unit."
"CorruptedVision","Corrupted Vision","shroud","shroud","","unit","","common","true","0","4","4","",""
"ServoArm","Servo Arm","augencore","augencore","","unit","","common","true","0","1","1","",""
"BaronSquireTheVile","Baron Squire, the Vile","shroud","shroud","","unit","","rare","true","2","4","2","","Whenever you play an Effect from your hand, create and play a random Effect with the same energy cost."
"RomusRecombinantJustician","Romus, Recombinant Justician","kathari","kathari","","unit","clone","legendary","true","5","5","5","","Pick up to 2 Friendly Units on the Field. When one or more of these units gain an ability, give that ability to the others as well."
"MirielleTheGhostOfMars","Mirielle, the Ghost of Mars","marcolian","marcolian","","unit","","rare","true","3","3","1","","Muster: Destroy up to 3 target friendly Units. For each that was destroyed, play a random Unit with a Cost 1 higher than the destroyed Unit from your Deck."
"NanobotUpgrade","Nanite","augencore","augencore","","upgrade","","common","true","0","0","0","","Upgraded unit has +1/+1."
"InstantReplicator","Instant Replicator","augencore","augencore","","upgrade","","rare","false","3","0","0","","When this upgrade is attached, it becomes a copy of another target upgrade on the field."
"CuttingEdge","Cutting Edge","augencore","augencore","","upgrade","","common","false","2","0","0","Armed","Upgraded unit has +1/+0 and *Armed*."
"GrizzledScout","Grizzled Scout","marcolian","marcolian","","unit","","rare","false","4","4","4","","When another friendly unit attacks, that unit gains +1/+0."
"StrengthOfMars","Strength of Mars","marcolian","marcolian","","upgrade","","uncommon","false","1","0","0","","When you are dealt damage, upgraded unit gains +1/+1."
"HallowedBurialGround","Hallowed Burial Ground","earthen","earthen","","relic","","legendary","false","2","0","0","Decay,Defender,Pacifist","After a friendly unit with *Decay* is destroyed, create a *Tombstone* with 0 attack, health equal to the destroyed unit's cost, *Defender*, and *Pacifist*."
"UnseenCommando","Unseen Commando","marcolian","marcolian","","unit","","uncommon","false","2","1","2","Assault","This unit can't be targeted by enemy abilities or effects.
*Assault*: This unit gains +1/+1."
"TriggerHappyTrooper","Trigger Happy Trooper","marcolian","marcolian","","unit","","uncommon","false","1","2","2","","On attack, deal 1 damage to each player."
"ArtilleryJuggernaut","Artillery Juggernaut","augencore","augencore","","unit","","common","true","0","5","2","","When Artillery Juggernaut enters the field, deal 3 damage to target unit."
"MagnaTempestsWill","Magna, Tempest's Will","kathari","kathari","","unit","clone","legendary","false","3","2","2","Muster","*Muster*: Choose one:

* Deal damage equal to Magna’s attack to target enemy unit.
* Draw a card. 
* Deal 1 damage to the enemy.

If a friendly Kathari unit was destroyed on the enemy’s last turn, do all three instead."